Omschrijving,Kleur,NFC-Waarde,Fashion-Waarde,Technische-Waarde,Culturele-Waarde,Politieke-Waarde,Economische-Waarde,
Amazon heeft Dash Buttons ontwikkeld. Met één druk op de knop bestel je het product dat op de Dash Button staat. Zo is er een knop voor wasmiddel 'Tide', een knop voor Kraft's Macaroni and Cheese etc. Het is nog nooit zo gemakkelijk geweest om producten te bestellen. De knoppen zijn dus nieuwe kanalen, die op de juiste plaats en de juiste tijd aanwezig zijn. Als je bezig bent met de was, en merkt dat het wasmiddel bijna op is, kun je meteen nieuwe bestellen.,Red,52,4,2,4,3,2,
Cosmeticabedrijf 100%Pure gebruikt Big Data om bepaalde bezoekers kortingen aan te bieden, waardoor ze toch een aankoop zullen doen. Door middel van een algoritme wordt bekeken wie er gemakkelijk een aankoop doet, en wie er nog een zetje nodig heeft. De klant die nog een zetje nodig heeft, zal dan minder hoeven te betalen voor een product. De waarde van een product verandert dus per klant.,Red,52,4,2,4,3,2,
Dit is echt een vorm van statustest. Dit is een schoolheidssalon in pannekoekstraat waarbij het niet meer gebruikelijk is om zomaar als klant binnen te wandelen, deze winkel is namelijk alleen geopend op afspraak. De trend is dus dat de klant echt een afspraak moet maken of zelf de eigenaar moet bellen om een vraag beantwoord te krijgen of een afspraak te maken. Consumenten moeten moeite doen.,Blue,50,5,4,3,1,2,
Hier verandert de waarde. Tegenwoordig wantrouwt de Nederlandse bevolking veel goede doelen. Men is bang om aan een 'abbonnement' vast te zitten, een vast bedrag per maand. Bij deze app verandert de waarde omdat ze maar 0,50 kwijt zijn (wat ze anders niet zouden geven) waardoor een syrisch kind een maaltijd kan nemen.,Blue,50,5,4,3,1,2,
Ik ontving laatst deze folder van Ici Paris en na de trends doorgenomen te hebben kreeg ik door dat bedrijven inderdaad minder moeite doen maar juist de consument de moeite laten doen. Alleen de kaarthouders van Ici Paris krijgen korting en krijgen deze folder, als je geen pasje hebt voor Ici Paris maar een klant die zomaar langskomt krijg je deze korting dus niet.,Blue,50,5,4,3,1,2,
Je kan hier een abbonnement nemen op TVfilm, je biedt het op een andere manier aan waardoor de waarde verandert.,Blue,50,5,4,3,1,2,
Dit is een reclame van de domino's. Bedrijven gaan steeds gerichter adverteren: op het juiste moment (net voor etenstijd mailde zij mij dit rond 16:15, dit is het moment dat veel mensen nog niet gegeten hebben) en op het medium/kanaal die mensen het meest in de gaten houden namelijk het mobieltje/e-mail in plaats van een folder die door de brievenbus komt 's ochtends wanneer mensen nog geen trek hebben in pizza en die bovenop alle folders belandt.,Blue,50,5,4,3,1,2,
De BodyGuardian is een 'smart' armband die je welstand (hartslag, temperatuur, etc.) meet en via het internet een analyse maakt. Een soort persoonlijke huisarts om de pols.,Blue,53,3,2,1,2,4,
De onbemande bus van Connexxion OV maakt het mogelij voor reizigers om in rustige gebieden volledig geautomatiseerd vervoerd te worden.,Blue,53,3,2,1,2,4,
Door een preciese analyse van credit card transacties kunnen banken een bepaald uitgavepatroon vaststellen en aan elk individu een persoonlijk profiel koppelen. Zodra dit op een gegeven moment gaat afwijken ontvang je een waarschuwing van de bank. Door de nauwkeurigheid ervan klopt 70% van deze waarschuwingen.,Blue,53,3,2,1,2,4,
De GlowCap is een medicijndoosje waarvan de deksel verbonden is met de smartphone. Zodra de deksel niet geopend is op het moment dat jij je medicatie moet innemen zal je via je smartphone een notificatie krijgen.,Blue,53,3,2,1,2,4,
De Google SmartCar is een volledg geautomatiseerde wagen die in de toekomst in verbinbing moet staan met alle verkeerslichten-/borden, strepen op de weg, etc. zodat de wagen onbemand en veilig kan vervoeren. Het huidige prototype beschikt over een lens die verkeersborden/-lichten kan detecteren.,Blue,53,3,2,1,2,4,
,Red,39,5,2,3,1,2,
consumenten het idee geven dat zij VIP zijn. Geeft meer waarde voor de consument.,Red,39,5,2,3,1,2,
Voor de consument het nog gemakkelijker maken om in te loggen, dmv touch id. Dus nieuwe technologieën,Red,39,5,2,3,1,2,
Only adult hotels, waarde omhoog, prijs kan omhoog.,Red,39,5,2,3,1,2,
Mensen garanderen op snel internet.,Red,39,5,2,3,1,2,
Deze bron gaat over de trend van de Retail In-Store Analytics, wat kort samengevat inhoudt dat er allerlij technologieën worden gebruikt om aan elke bezoeker een klantprofiel te koppelen waardoor de consument gepersonaliseerd geserviced kan worden.,Blue,53,3,2,1,2,4
Een 'smart' tablet dat de welstand van binnenuit kan meten. Dit miniscule apparaatje kan de gezondheid van een mens managen door alle data op te nemen en te verwerken.,Blue,53,3,2,1,2,4,
,Blue,53,3,2,1,2,4,
Tegenwoordig is een persoonlijke assistent aanwezig op vrijwel elke webshop, maar nog niet altijd geautomatiseerd. Een aantal bedrijven zijn al bezig met (het ontwikkelen van) een technologie die zonder behulp van een mens alle vragen kan beantwoorden.,Blue,53,3,2,1,2,4,
Een technologie die d.m.v. sensoren het leven van senioren kan monitoren. De gedoodverfde vervanger voor bejaardentehuizen.,Blue,53,3,2,1,2,4,
Siri, de welbekende applicatie van de iPhone. Siri is een geavanceerde persoonlijke assistent die werkt op spraakherkenning.,Blue,53,3,2,1,2,4
Mensen iets gratis aanbieden werkt altijd.,Red,39,5,2,3,1,2,
Een pijama die de gemoedstand van baby's kan meten.,Blue,53,3,2,1,2,4,
Een rookalarm die o.b.v. opgenomen data het bepalen van stoffen in de rook kan meten wanneer rook voor gevaar kan zorgen. Het alarm zal nooit meer af gaan als er stiekem een sigaretje wordt gerookt.,Blue,53,3,2,1,2,4,
Op de technologiebeurs CES in Las Vegas worden veel nieuwe drones aangekondigd. Dit is er een waar een passagier in past. Je zou dus met deze nieuwe ontwikkeling in de toekomst naar je werk kunnen vliegen en de ochtendspits vermijden.,Yellow,50,3,4,4,4,3,
Dit is en apparaat dat de hersenactiviteit meet. HIermee kan je door te kijken apparaten besturen. Het gaat nu nog erg langzaam.,Yellow,50,3,4,4,4,3,
Een 'Engels ontbijt', maar dan anders. In plaats van dat er eieren, bacon, etc. ligt zijn het allemaal toetjes. Het ei is gemaakt van gelei, de worsten zijn chocoladerepen enzovoorts,Red,46,3,4,4,5,3,
Rib Eye Steak verkoopt haar kleding in een soort 'supermarkt setting' bij binnenkomst staan er bijvoorbeeld winkelwagentjes en alles ligt in vitrines en koelingen,Red,46,3,4,4,5,3,
Ferrari verlootte 6 modellen van de Sergio onder haar trouwste klanten.,Red,46,3,4,4,5,3,
Cicada 3301 is een test die jaarlijks in januari duizenden mensen bezig houdt met de meest onmogelijk lijkende puzzels. De test luidt ook 'wij zijn opzoek naar de slimste individuen'. Het gerucht gaat dat het een trainingsprogramma is voor de CIA of FBI,Red,46,3,4,4,5,3,
Dit is inside trading, omdat de medewerkers voordeel krijgen bij andere bedrijven door bij het UMC utrecht te gaan werken. Zo wordt de interne sfeer behouden en zijn medewerkers gedreven om bij het bedrijf te blijven, vanwege de goede voordelen die zij krijgen.,Red,43,4,2,2,1,2,
Schorem is een herenkapper die lijkt op een ouderwetse, Italiaanse/New York barbier. Alleen mannen zijn welkom en de lange wachttijden worden gecompenseerd met bier,Red,46,3,4,4,5,3,
Dit is een goed voorbeeld van Inside trading, want ze willen de sfeer intern behouden door de kersverse ouders een jaar verlof te kunnen geven zodat zij thuis bij hun kind kunnen blijven, wanneer zij dit willen.,Red,43,4,2,2,1,2,
Door te appen met Bep, kunnen ouderen vragen kwijt of hun organen nog wel geschikt zijn voor transplantatie. Hiermee probeerde de Nederlandse Transplantatie Stichting ouderen te laten zien dat organen altijd iemand kunnen helpen,Red,46,3,4,4,5,3,
Appen met Bep zodat Nederlanders de troonrede makkelijker kunnen begrijpen,Red,46,3,4,4,5,3,
Je kan nu bij Domino's een bestelling plaatsen door middel van een pizzapunt te sms'en. Zo makkelijk is het nog nooit geweest.,Red,43,4,2,2,1,2,
GEEF is een sociaal restaurant waar je zelf bepaalt wat je betaalt. Op het menu staan geen prijzen, maar wel heerlijke gezonde maaltijden en inspirerende ontmoetingen.,Yellow,50,3,4,4,4,3,
Bij Café Trust aan de Albert Cuypstraat mag je namelijk zelf bepalen wat je afrekent. De gedachte is dat klanten op basis van liefde en vertrouwen een eerlijke prijs zullen betalen.,Yellow,50,3,4,4,4,3,
De Makro is enkel voor ondernemers die zijn ingeschreven bij de Kamer van Koophandel.,Yellow,50,3,4,4,4,3,
Klanten kunnen bij vragen, opmerkingen of klachten eenvoudig een appje sturen naar suit supply.,Red,46,5,2,4,2,3,
De spoorwegmaatschappij maakt gebruik van big data om mensen te informeren over verwachtingen in vertragingen en veranderingen in vertrek- en aankomsttijden. Het is een slim product dat het makkelijker maakt voor de mens en waarmee veel tijd kan worden bespaard.,Red,46,5,2,4,2,3,
"Om binnen te komen bij deze exclusieve club, moet je eerst op de site een membership aanvragen. Hierin moet je vertellen waarom jij een member zou moeten worden. Vinden zij jou ""goed"" genoeg, dan krijg je een membercard waarmee je naar binnen kunt.,Red,46,5,2,4,2,3",
Bij ing is het nu mogelijk om contactloos met je smartphone te betalen. Dit speelt in op het gemak en tijdsbesparing.,Red,46,5,2,4,2,3,
RET-reizigers krijgen geld voor het inleveren van lege blikjes en plastic flesjes. Het is de eerste keer in Nederland dat een vergoeding uitgekeerd wordt bij inlevering van afval in het openbaar vervoer. Reizigers kunnen er ook voor kiezen deze 15 cent te doneren aan het natuurbehoudsproject ZOOWild van Diergaarde Blijdorp.,Red,46,5,2,4,2,3,
Tegenwoordig kun je een 360 graden foto op Facebook plaatsen, zodat je vrienden zich meer kunnen verplaatsen in jouw leven. Dit behoort tot de trend beneficial intelligence, omdat het gemak van het maken en posten van jouw omgeving met behulp van 360 graden foto’s bijdraagt aan de gebruiker. De functie maakt het jouw vrienden makkelijker om jouw leven te zien.,Green,52,4,3,4,3,2,
Pand op de Witte de Withstraat in Rotterdam met “No Logo”. Dit is een signaal, omdat je meestal alleen winkels of panden met een logo of naam ziet. Ik zou dit signaal niet kunnen koppelen aan een bepaalde trend.,Green,52,4,3,4,3,2,
Een apparaat wat wijnkaters voorkomt. Dit is een signaal van de trend beneficial intelligence, omdat het bijdraagt aan de eindgebruiker. Door dit product te gebruiken, krijg je geen kater.,Green,52,4,3,4,3,2,
Een apparaat waarmee je met je huisdier kan bellen. Je huisdier drukt op de knop en je krijgt een oproep. Zo hoeft je huisdier je niet langer te missen. Dit signaal behoort ook tot de trend beneficial intelligence, omdat dit product ervoor zorgt dat het baasje zijn of haar huisdier kan zien, hij of zij niet thuis is. Het draagt dus bij aan de eindgebruiker, het is een slim product en het maakt naar werk gaan gemakkelijker. Omdat dit product op facebook wordt gepresenteerd, bevindt dit signaal zich tussen innovators en early adapters.,Green,52,4,3,4,3,2,
Een mobiel kussen waarmee je overal kan slapen. Mensen kunnen niet zien dat je slaapt, het kan dus als prettiger worden ervaren door mensen die graag slapen onderweg, of op werk, enz. Dit signaal behoort tot de trend beneficial intelligence, omdat het bijdraagt aan de eindgebruiker. Het mobiele kussen maakt het mensen gemakkelijker om even een dutje te doen.,Green,52,4,3,4,3,2,
Voor het eerst dat een voetbalclub een gamer contracteert. Dit signaal behoort tot insider trading, omdat Ajax probeert zichzelf te verbeteren. Ajax probeert intern te verbeteren, waarmee ze kunnen pronken bij de voetbalfans en andere geïnteresseerden.,Green,52,4,3,4,3,2,
De Distractgone zorgt ervoor dat je je mobiel voor een bepaalde tijd kan opbergen en pas weer op je mobiel kan zitten als de timer is afgelopen. Handig voor mensen met een verslaving, of mensen die zich met mobiel niet kunnen concentreren op werk of school bijvoorbeeld. Daarom is dit signaal een voorbeeld van beneficial intelligence, het draagt bij aan de eindgebruiker. Niet alleen kan iemand zich nu beter concentreren op wat er moet gebeuren op werk of op school, het draagt ook bij aan de gezelligheid tijdens een maaltijd bijvoorbeeld met vrienden of familie, waar iedereen zijn telefoon even wegstopt.,Green,52,4,3,4,3,2,
Hier kan je contactloos betalen met je telefoon in plaats van met je pinpas. Je kunt je pinpas dus gewoon thuislaten.,Yellow,50,5,4,4,1,2,
Je moet nu je kenteken invoeren in plaats van een bonnetje in de auto leggen.,Yellow,50,5,4,4,1,2,
Je kunt met je horloge inchecken bij KLM voor je vlucht. Je hoeft dus geen papieren meer mee te nemen, maar alleen je horloge laten scannen.,Yellow,50,5,4,4,1,2,
Dit is speelgoed waarmee je kinderen kunnen leren. Hij groeit met je mee en vertelt je meer informatie hoe ouder je wordt.,Yellow,50,5,4,4,1,2,
Een voorbeeld van betalen met je mobiel in plaats van met pinpas.,Yellow,50,5,4,4,1,2,
Breitling horloges,Red,58,2,5,3,3,2,
Presentatie van een nieuwe model auto van Ferrrari.,Red,58,2,5,3,3,2,
Bavaria wilt ook meer gedronken worden in Den Haag.,Red,58,2,5,3,3,2,
Reclame van Frutesse.,Red,58,2,5,3,3,2,
Reclame van NS bij Prinsjesdag.,Red,58,2,5,3,3,2,
Reclame van Volkswagen op Schiphol.,Red,58,2,5,3,3,2,
Personeel van Aditech.,Red,58,2,5,3,3,2,
NS neemt het op voor de werknemers.,Red,58,2,5,3,3,2,
Whatsapp buurt preventie.,Red,58,2,5,3,3,2,
Schade melden bij verzekeraar Ditzo via Whatsapp.,Red,58,2,5,3,3,2,
boekspot: deel een boek. Je kunt op deze plekken gratis een boek meenemen.,Yellow,48,4,3,4,2,3,
gezonde levensstijl, zonder toegevoegde kunstmatige smaak- en kleurstoffen,Yellow,48,4,3,4,2,3,
netflix button,Yellow,48,4,3,4,2,3,
snapchatbril met ingebouwde camera,Yellow,48,4,3,4,2,3,
De McDonald's in Barendrecht heeft sinds kort een McCafé en een Salad Bar. Ze proberen zich niet alleen meer te richten op fast food, herpositioneren.,Yellow,48,4,3,4,2,3,
Een drone, dus nog betere technologie,Red,39,5,2,3,1,2,
Pokemon,Red,39,5,2,3,1,2,
Laten zien dat personeel cadeaus krijgt,Red,39,5,2,3,1,2,
Winactie,Red,39,5,2,3,1,2,
,Red,39,5,2,3,1,2,
De mensen moeten moeite doen om hierbij te horen. Men moet naar buiten, op pad om de pokemon te vangen.,Red,51,3,5,2,4,1,
De advertenties worden aangepast op jouw persoonlijkheid, op basis van welke foto's jij liked bijvoorbeeld.,Red,51,3,5,2,4,1,
Deze regensensor zorgt ervoor dat het verkeerslicht voor de fietsers eerder op groen gaat als het regent. Zo hoeven de fietsers niet in de regen te wachten en wordt de kans dat zij door rood rijden ook kleiner.,Red,51,3,5,2,4,1,
Wanneer het regent gaat de regensensor werken, de fietsers hoeven niet meer zo lang te fietsen in de regen, want het stoplicht gaat sneller op groen, wanneer het regent. Dit maakt het de fietsers gemakkelijker en sneller kunnen fietsen wanneer het regent,Red,43,4,2,2,1,2,
Het werk van de boeren van de melkveehouderij wordt gemakkelijker en minder zwaar door de robots. Deze robot kan je met je telefoon besturen, dus zelfs als je lekker thuis op de bank zit kan je alles besturen en in de gaten houden. Zo wordt een groot deel van het werk uit handen genomen.,Red,43,4,2,2,1,2,
Wanneer je een keer je portemonnee bent vergeten, maar toch echt je boodschappen in huis wilt halen, is er nu de oplossing. De ING heeft mobiel betalen. Als je je mobiel bij hebt kan je door middel van NFC gewoon gemakkelijk betalen. Zo makkelijk kan het zijn.,Red,43,4,2,2,1,2,
Tegenwoordig zie ik vaak plaatjes van mensen met het merk Supreme aan op Pinterest. Dit past bij status test omdat dit merk heel erg exclusief en duur is. Er is zelfs een grotere tweedehandse handel gaande die groter is dan de gewone retail. Mensen die een supreme kledingstuk hebben, hebben dus heel erg hun best gedaan om op het moment dat het gelanceerd werd, het te bestellen op de website (het is normaal na 1 minuut al uitverkocht dus ze moeten echt snel zijn). Of deze mensen hebben het voor een veel te hoge prijs tweedehands gekocht.,Red,54,5,4,4,2,1,
Net als bij Supreme is Kylie Cosmetics de laatste tijd erg populair en het is erg exclusief. De webshop is vaak na enkele minuten uitverkocht wanneer er nieuwe producten uit komen. Hiervoor moeten de klanten dus erg veel moeite doen om de nieuwe producten te bemachtigen.,Red,54,5,4,4,2,1,
"""They focus on technology possibilities, rather than putting customers’ needs and wants first."" Dit staat in het artikel van trend watching over Contextual Omnipresence. Het verwijderen van de auxpoort bij de iPhone 7 is hier een goed voorbeeld van. Apple wil verder gaan in de technologie, ondanks dat ze veel kritiek kregen over het verwijderen van de aux poort. Maar toch zeggen ze zelf dat de aux poort ouderwets is en daardoor vervangen (weggelaten) moet worden.,Red,54,5,4,4,2,1",
"Ook bij dit voorbeeld gaat het om deze quote uit het artikel van trendwatching: ""They focus on technology possibilities, rather than putting customers’ needs and wants first."" Bij het verdwijnen van de blauwe envelop en het te ""digitaliseren"" kreeg de belastingdienst veel kritiek over zich heen. Veel ouderen vonden het erg lastig omdat zij niet handig zijn met computers e.d. Hierdoor kiest de belastingdienst in principe voor de technologie in plaats van het belangen van de klant.,Red,54,5,4,4,2,1",
Dit filmpje is een leuk voorbeeld van Inside trading omdat het bij inside trading gaat om het laten zien dat een bedrijf goed zorgt voor hun medewerkers. In dit filmpje laat coolblue zien dat zij hun medewerkers in het zonnetje zetten en verrassen.,Red,54,5,4,4,2,1,
,Blue,52,3,5,4,2,3,
Biedt gratis eten aan 9GAG'ers, zet zich daarnaast in voor wereldvrede,Blue,52,3,5,4,2,3,
Dit is een hele leuke tv-reclame die ik van de week zag. Je ziet mensen problemen hebben met bedraadde apparatuur, met slecht geluid van telefoons en pc's. En dan wordt er gezegd: you're better than this, use sonos. Zo laat Sonos zien dat zij de dagelijkse problemen makkelijk maken met hun technologie. Dit is dus een goed voorbeeld van beneficia intelligence.,Red,54,5,4,4,2,1,
Door het smart order systeem kun je zelf makkelijk en sneller bestellen en aanpassen wat je wilt eten bij de Mac Donalds,Yellow,40,5,4,3,2,2,
Dit handige oordopje kan live vertalen zodat je mensen om je heen gelijk kan horen in je eigen taal. Dit is een voorbeeld van beneficial intelligence omdat met dit oortje je leven een stuk makkelijker wordt gemaakt door technologie.,Red,54,5,4,4,2,1,
Ook dit is een voorbeeld van beneficial intelligence omdat deze gadget technologie gebruikt om je spullen nooit meer kwijt te raken en dus je leven een stuk makkelijker te maken.,Red,54,5,4,4,2,1,
Je hoeft zelf geen dingen meer op te zoeken of in te typen, want Siri doet alles voor je,Yellow,40,5,4,3,2,2,
360 picture, facebook users can choose what they want to watch in the video by changing perspective.,Yellow,52,4,4,3,3,2,
Tulpstoel. Een stoel op straat die inklapt wanneer je er niet op zit en dan functioneert als tulp.,Yellow,52,4,4,3,3,2,
Wanneer je bijvoorbeeld even druk bezig bent en je geen tijd hebt om een berichtje te typen, doet FaceTime al een soort voorspelling en kan je kiezen wat voor antwoord je kunt geven,Yellow,40,5,4,3,2,2,
"Siri is een goed voorbeeld van beneficial intelligence omdat siri het leven makkelijker maakt. Je kunt haar heel veel vragen zoals: ""wat is het weer morgen"", gewoon met je stem en siri zoekt het voor je op. Siri is echt je persoonlijke assistent.,Red,54,5,4,4,2,1",
Papiertjes bij kauwgom om vervuiling te voorkomen.,Yellow,52,4,4,3,3,2,
Geen gedoe meer met oordopjes in de klit. De airpods zijn een goed voorbeeld voor technologie wat het leven gemakkelijker maakt en hierdoor is het een voorbeeld van beneficial intelligence.,Red,54,5,4,4,2,1,
Bandje met chip om te betalen tijdens festivals.,Yellow,52,4,4,3,3,2,
Door locatievoorzieningen weet het web waar je bent. Dit is makkelijk wanneer je bijvoorbeeld op zoek bent naar de dichtstbijzijnde supermarkt. Google zal dan gelijk het antwoord voor je opzoeken en ook de KM's aangeven,Yellow,40,5,4,3,2,2,
Er wordt momenteel onderzoek gedaan naar het maken van 3D organen.,Yellow,52,4,4,3,3,2,
Polaroid camera's,Yellow,52,4,4,3,3,2,
De pepper robot kan dingen voor je opzoeken op internet, je herinneren aan je afspraken en met je spelen. Hij herkent je emoties en zal bijvoorbeeld een leuk liedje spelen als je verdrietig bent. Ook kan hij kleine gesprekjes met je voeren. Alle Peppers zijn met elkaar verbonden via de Cloud, waardoor ze van elkaar zullen leren en steeds beter worden,Yellow,40,5,4,3,2,2,
,Red,45,5,3,4,1,2,
Met deze actie worden mensen gevraagd gegevens in te vullen en de organisaties aan te tikken waar ze prijzen van willen winnen. Vervolgens krijgen ze daarvan nieuwsbrieven binnen. De organisaties werven zo dus veel nieuwe e-mailadressen.,Red,45,5,3,4,1,2,
Speciale aanbieding voor Pull & Bear-lovers om te shoppen met 25% korting, omdat de organisatie 25 jaar bestaat.,Red,45,5,3,4,1,2,
De nieuwe manier van muziek luisteren van Apple.,Red,45,5,3,4,1,2,
De nieuwe manier van opladen, je legt je telefoon neer bij de lamp en hij wordt opgeladen.,Red,45,5,3,4,1,2
Steeds meer mensen betalen met hun mobiel.,Red,45,5,3,4,1,2,
Deze Drones komen snel te hulp bij ongelukken en kunnen helpen reanimeren.,Yellow,47,4,4,3,2,2,
Deze taxi's rijden zelf. Mensen worden zonder taxi chauffeur naar hun plek gebracht.,Yellow,47,4,4,3,2,2,
Deze bar heeft een nieuw deurbeleid verzonnen. Er werd een TInder profiel aangemaakt van een vrouw uit 1930 en zij vroeg mannen haar het hof te maken zoals vroeger en ze moesten zich als een heer gedragen. Er was er 1 de winnaar van 4000 matches en die mocht naar binnen in de bar.,Yellow,47,4,4,3,2,2,
Bedrijven gebruiken WhatsApp als middel om sneller te communiceren met de klant. Dit komt voor de klant goed uit omdat hij op elk moment contact kan leggen.,Red,50,5,3,4,3,1,
"""Bekijk de complete outfit"". Je maakt het voor de klant makkelijk om producten te kopen,Red,50,5,3,4,3,1",
zelfrijdende bus,Yellow,48,4,3,4,2,3,
Zie afbeelding,Yellow,52,4,4,3,3,2,
Nieuwe manier van kranten en tijdschriften lezen. Je betaalt alléén voor wat je wil zien.,Yellow,47,4,4,3,2,2,
Kleine draagbare beamer die je kunt aansluiten op je telefoon en vanaf je telefoon kunt projecteren.,Yellow,52,4,4,3,3,2,
,Blue,57,5,3,3,2,4,
Voor de iPhone zijn altijd mega lange rijen wanneer er een nieuwe iphone uitkomt. mensen weten soms nog niet eens wat ze kunnen verwachten maar toch schrijven ze zich al in. De consument doet dus veel moeite voor het product en dit is een duidelijk voorbeeld van status test,Green,52,5,4,2,3,2,
,Blue,57,5,3,3,2,4,
,Blue,57,5,3,3,2,4,
,Blue,57,5,3,3,2,4,
,Blue,57,5,3,3,2,4,
,Blue,57,5,3,3,2,4,
armband die de weergave van je telefoon projecteert op je arm.,Yellow,52,4,4,3,3,2,
Onderhuidse chip waarmee je sloten kunt openen, betalen en inchecken (OV).,Yellow,52,4,4,3,3,2,
